objectid,filename,title,creator,genre,date,subject,description,filesize,fomat,identifier,display_template,rights,rights statement
cnf000,cnf000_draftedcollection_miller.pdf,Final Reflection Manuscript,"Miller, Ashley",Creative non-fiction,2023,Autobiography; Childhood; Adolescence;  Mental Illness; Fathers;,The compilation of files with a reflection written for the undergrad course the creative non-fiction pieces were initially written. ,143 KB,application/pdf,cnf000_draftedcollection_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf001,cnf001_candy_miller.pdf,"""Candy""","Miller, Ashley",Creative non-fiction,2023,Family; Memories; Grandparents; Homesick,Short story about my family and memories. ,42.3 KB,application/pdf,cnf001_candy_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf002,cnf002_aliens_miller.pdf,"""Aliens""","Miller, Ashley",Creative non-fiction,2023,Fathers; Aliens; Belief ,Short story about my dad's obsession with outer space. ,55.6 KB,application/pdf,cnf002_aliens_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf003,cnf003_bike_miller.pdf,"""Bike""","Miller, Ashley",Creative non-fiction,2023,Fathers; Growing up; Lessons,Short story about the my childhood bike crash and how my dad never let me be weak.,38.0 KB,application/pdf,cnf003_bike_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf004,cnf004_shannonogains_miller.pdf,"""Shannonogains""","Miller, Ashley",Creative non-fiction,2023,Fathers; Accidents; ,Short story about my father's accident-prone tendencies. ,44.0 KB,application/pdf,cnf004_shannonogains_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf005,cnf005_room_miller.pdf,"""Room""","Miller, Ashley",Creative non-fiction,2023,Depression; Loneliess; Homesickness,Short story about depression and frustration.,47.1 KB,application/pdf,cnf005_room_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf006,cnf006_names_miller.pdf,"""Names""","Miller, Ashley",Creative non-fiction,2023,Family; Names; Introductions,Short story about names and most people's intense distaste for their own.,52.5 KB,application/pdf,cnf006_names_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf007,cnf007_truckstop_miller.pdf,"""Truck Stop""","Miller, Ashley",Creative non-fiction,2023,Work; Customers; Rudeness; Purpose,Short story about the turmoil of being employed at a small town truck stop. ,58.6 KB,application/pdf,cnf007_truckStop_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf008,cnf008_welcome_miller.pdf,"""Welcome""","Miller, Ashley",Creative non-fiction,2023,Fathers; Daughters; Parenthood,Short story about the birth of myself and my place in the world as an accident.,37.5 KB,application/pdf,cnf008_welcome_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
cnf009,cnf009_grandma_miller.pdf,"""Grandma Before the Grand""","Miller, Ashley",Creative non-fiction,2023,Grandmothers; Family history; ,Short story about my grandma before she donned the name Grandma. ,57.4 KB,application/pdf,cnf009_grandma_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
fic001,fic001_puck_miller.pdf,"""Puck""","Miller, Ashley",Fiction_Urban Fantasy,2022,Fairies; Family; Self-worth;,A work-in-progress file of my first urban fantasy novel. It is only the first page because I fear someone stealing my ideas. ,29.7 KB,application/pdf,fic001_puck_miller,pdf,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic001,pic001_shannony.jpeg,My Dad,"Miller, Phyllis",,1989,,I've always said my dad is my only parent...obviously genetics agree.,4.23 MB,image/jpeg,pic001_shannony,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic002,pic002_grandmas.jpeg,Grandma's House,"Miller, Ashley",,2004,,Old photo of my dad and I outside my grandmother's house.,2.56 MB,image/jpeg,pic002_grandmas,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic003,pic003_usery.jpeg,Generations Past,"Miller, Ashley",,2019,,One of the only photos of my grandma's ancestors that exists. ,2.97 MB,image/jpeg,pic003_usery,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/
pic004,pic004_room.jpeg,Visual of Room,"Miller, Ashley",,2024,,"Photo of the room I return to in my piece ""Room.""",3.08 MB,image/jpeg,pic004_room,image,Miller-Ashley CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/